name
HDMIオス
HDMIメス
miniHDMIオス
miniHDMIメス
microHDMIオス
microHDMIメス
SDIオス
SDIメス
XLRオス
XLRメス
USB-Aオス
USB-Aメス
USB-miniAオス
USB-miniAメス
USB-miniABメス
USB-microAオス
USB-microAメス
USB-microABオス
USB-microABメス
USB-Bオス
USB-Bメス
USB-miniBオス
USB-miniBメス
USB-microBオス
USB-microBメス
USB-Cオス
USB-Cメス
Lightningオス
Lightningメス
RCAオス
RCAメス
LANオス
LANメス
ACアダプターオス
ACアダプターメス
2ピン電源オス
2ピン電源メス
3ピン電源オス
3ピン電源メス
ステレオミニジャックオス
ステレオミニジャックメス
Phone(2.5mm)2極オス
Phone(2.5mm)2極メス
Phone(2.5mm)3極オス
Phone(2.5mm)3極メス
Phone(2.5mm)4極オス
Phone(2.5mm)4極メス
Phone(3.5mm)2極オス
Phone(3.5mm)2極メス
Phone(3.5mm)3極オス
Phone(3.5mm)3極メス
Phone(3.5mm)4極オス
Phone(3.5mm)4極メス
Phone(6.5mm)2極オス
Phone(6.3mm)2極メス
Phone(6.5mm)3極オス
Phone(6.3mm)3極メス
Phone(6.5mm)4極オス
Phone(6.3mm)4極メス
Optical角オス
Optical角メス
Optical丸オス
Optical丸メス
Coaxialオス
Coaxialメス
DVI-Dオス
DVI-Dメス
DVI-Iオス
DVI-Iメス
RGBオス
RGBメス
DisplayPortオス
DisplayPortメス
MiniDisplayPortオス
MiniDisplayPortメス
MHLオス
MHLメス
Dオス
Dメス
Sオス
Sメス
Componentオス
Componentメス
5BNCオス
5BNCメス
VGAオス
VGAメス
モジュラージャックオス
モジュラージャックメス
